ISBN|Titre|Auteur|Editeur|Categorie|Synopsis|Parution|Prix|Image.URL.L
9780140299939|World's End|T. Coraghessan Boyle|Penguin Books|Fiction|This multi-generational novel ranges over the history of the Hudson River Valley from the late seventeenth cenutry to the late 1960s with low humor, high seriousness, and magical, almost hallucinatory prose. It follows the interwoven destinies of families of Indians, lordy Dutch patrons, and yoemen.|1988|238|http://images.amazon.com/images/P/0140299939.01.LZZZZZZZ.jpg
9780140299946|Descent of Man|T. Coraghessan Boyle|Penguin Books|Fiction|A mad, hilarious collection of short stories, wherein Boyle offers his unique view of dictators, animals, scientists, explorers, collectors, teetotalers, and others.|1987|87|http://images.amazon.com/images/P/0140299947.01.LZZZZZZZ.jpg
9780140299960|Budding Prospects|T. Coraghessan Boyle|Penguin Books|Fiction|Felix is a quitter, with a poor track record behind him. Until the day the opportunity presents itself to make half a million dollars tax-free - by nurturing 390 acres of cannabis in the lonely hills of northern California.|1990|216|http://images.amazon.com/images/P/0140299963.01.LZZZZZZZ.jpg
9780140309591|Pippi Goes on Board|Astrid Lindgren|Puffin Books|Juvenile Fiction|The further adventures of Pippi and her friends Tommy and Annika.|1977|180|http://images.amazon.com/images/P/0140309594.01.LZZZZZZZ.jpg
9780140320435|Charlie and the Great Glass Elevator|Roald Dahl|Puffin Books|Adventure stories|Mr. Willy Wonka might be a genius with chocolate, but Charlie and his family don't trust his flying skills one bit. And right now, he's at the helm of a giant glass elevator that's picking up speed and hurtling through space with Charlie and the entire Bucket family stuck inside! Roald Dahl's uproarious sequel to "Charlie and the Chocolate Factory" is certain to delight and entertain a new generation of readers. "From the Hardcover edition."|1986|157|http://images.amazon.com/images/P/0140320431.01.LZZZZZZZ.jpg
9780140345827|Strange Attractors|William Sleator|Puffin Books|Juvenile Fiction|Max finds himself in possession of a time travel device which is eagerly sought by two desperate men, the scientist who invented it and the scientist's alter ego from a different timeline.|1991|39|http://images.amazon.com/images/P/0140345825.01.LZZZZZZZ.jpg
9780140367355|Five Children and it|E. Nesbit|Puffin Books|Juvenile Fiction|A series of phenomenal adventures follow when young Anthea discovers a sand-fairy who can grant wishes.|1996|40|http://images.amazon.com/images/P/0140367357.01.LZZZZZZZ.jpg
9780140367430|The Enchanted Castle|E. Nesbit|Puffin Books|Juvenile Fiction|E. Nesbit's classic story of how Gerald, Cathy and Jimmy find an enchanted garden and awake a princess from a hundred-year sleep, only to have her immediately made invisible by a magic ring. Her rescue is difficult, funny and sometimes frightening.|2004|116|http://images.amazon.com/images/P/0140367438.01.LZZZZZZZ.jpg
9780140383195|Bound for Oregon|Jean Van Leeuwen|Puffin Books|Juvenile Fiction|Bound For Oregon (PB)|1996|113|http://images.amazon.com/images/P/0140383190.01.LZZZZZZZ.jpg
9780140389661|That was Then, this is Now|S. E. Hinton|Penguin Putnam Books for Young Readers|Juvenile Fiction|HINTON/THAT WAS THEN THIS IS NOW|2008|40|http://images.amazon.com/images/P/0140389660.01.LZZZZZZZ.jpg
9780140422153|The Complete Poems|William Blake|Penguin Books|Literary Criticism|Contains all of Blake's poetry with full annotation and a glossary of proper names.|1977|246|http://images.amazon.com/images/P/0140422153.01.LZZZZZZZ.jpg
9780140424386|The Canterbury Tales|Geoffrey Chaucer|Penguin Books|Poetry|'Now as I've drunk a draught of corn-ripe ale, By God it stands to reason I can strike On some good story that you all will like' In The Canterbury Tales Chaucer created one of the great touchstones of English literature, a masterly collection of chivalric romances, moral allegories and low farce. A story-telling competition within a group of pilgrims from all walks of life is the occasion for a series of tales that range from the Knight's account of courtly love and the ebullient Wife of Bath's Arthurian legend, to the ribald anecdotes of the Miller and the Cook. Rich and diverse, The Canterbury tales offers us an unrivalled glimpse into the life and mind of medieval England. Nevill Coghill's masterly and vivid modern English verse translation is rendered with consummate skill to retain all the vigour and poetry of Chaucer's fourteenth-century Middle English.|2003|47|http://images.amazon.com/images/P/0140424385.01.LZZZZZZZ.jpg
9780140430363|Three Gothic Novels|Peter Fairclough|Penguin Books|Fiction|Walpole's The Castle of Otranto, Beckford's Vathek, and Shelley's Frankenstein The Gothic novel, which flourished from about 1765 until 1825, revels in the horrible and the supernatural, in suspense and exotic settings. This volume, with its erudite introduction by Mario Praz, presents three of the most celebrated Gothic novels: The Castle of Otranto, published pseudonymously in 1765, is one of the first of the genre and the most truly Gothic of the three. Vathek (1786), an oriental tale by an eccentric millionaire, exotically combines Gothic romanticism with the vivacity of The Arabian Nights and is a narrative tour de force. The story of Frankenstein (1818) and the monster he created is as spine-chilling today as it ever was; as in all Gothic novels, horror is the keynote. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.|1968|236|http://images.amazon.com/images/P/0140430369.01.LZZZZZZZ.jpg
9780140430899|De Profundis and Other Writings|Oscar Wilde|Penguin Books|Fiction|No Marketing Blurb|1973|41|http://images.amazon.com/images/P/014043089X.01.LZZZZZZZ.jpg
9780140436075|The Law and the Lady|Wilkie Collins|Penguin Books|Fiction|Probably the first full-length novel with a woman detective as its heroine, The Law and the Lady (1875) is a fascinating example of Collins' later fiction. Valeria Valerie Woodville's first act as a married woman is to sign her name incorrectly in the marriage register; this slip is followed by a gradual disclosure of secrets about her husband's earlier life, each of which leads to another set of questions and enigmas. Developing many of the techniques at work in The Moonstone in bizarre and unexpected ways, and employing both Gothic and fantastic elements, The Law and the Lady adds a significant dimension to the history of the detective novel.|1998|69|http://images.amazon.com/images/P/0140436073.01.LZZZZZZZ.jpg
9780140437508|Three Men in a Boat|Jerome K. Jerome|Penguin Books|Fiction|When J. the narrator, George, Harris and Montmorency the dog set off on their hilarious misadventures, they can hardly predict the troubles that lie ahead with tow-ropes, unreliable weather-forecasts, imaginary illnesses, butter pats and tins of pineapple chunks. Denounced as vulgar by the literary establishment, Three Men in a Boat nevertheless caught the spirit of the times. The expansion of education and the increase in office workers created a new mass readership, and Jerome's book was especially popular among the 'clerking classes' who longed to be 'free from that fretful haste, that vehement striving, that is every day becoming more and more the bane of nineteenth-century life.' So popular did it prove that Jerome reunited his heroes for a bicycle tour of Germany. Despite some sharp, and with hindsight, prophetic observations of the country, Three Men on the Bummel describes an equally picaresque journey constrained only 'by the necessity of getting back within a given time to the point from which one started'.|1999|119|http://images.amazon.com/images/P/0140437509.01.LZZZZZZZ.jpg
9780140437850|A Journal of the Plague Year|Daniel Defoe|Penguin Books|Fiction|In 1665 the plague swept through London, claiming over 97,000 lives. Daniel Defoe was just five at the time of the plague, but he later called on his own memories, as well as his writing experience, to create this vivid chronicle of the epidemic and its victims. 'A Journal' (1722) follows Defoe's fictional narrator as he traces the devastating progress of the plague through the streets of London. Here we see a city transformed: some of its streets suspiciously empty, some - with crosses on their doors - overwhelmingly full of the sounds and smells of human suffering. And every living citizen he meets has a horrifying story that demands to be heard.|2003|87|http://images.amazon.com/images/P/0140437851.01.LZZZZZZZ.jpg
9780140437911|Saint Joan|Bernard Shaw|Penguin Books|Drama|One of Shaw's most unusual and enduringly popular plays. With SAINT JOAN (1923) Shaw reached the height of his fame and Joan is one of his finest creations; forceful, vital, and rebelling against the values that surround her. The play distils Shaw's views on the subjects of politics, religion and creative evolution.|2003|18|http://images.amazon.com/images/P/0140437916.01.LZZZZZZZ.jpg
9780140440225|The Canterbury Tales|Geoffrey Chaucer|Penguin USA (Paper)|Poetry|A retelling of the medieval poem about a group of travelers on a pilgrimage to Canterbury and the tales they tell each other|1977|62|http://images.amazon.com/images/P/0140440224.01.LZZZZZZZ.jpg
9780140440935|Faust|Johann Wolfgang Von Goethe|Penguin Books|Drama|A brief analysis of the development, style, and protagonists of the play is included with Goethe's masterpiece about a troubled man who sells his soul to the devil.|1959|102|http://images.amazon.com/images/P/0140440933.01.LZZZZZZZ.jpg
9780140441123|Prometheus Bound and Other Plays|Philip Vellacott|Penguin Books|Drama|Aeschylus (525;456 BC) brought a new grandeur and epic sweep to the drama of classical Athens, raising it to the status of high art. In Prometheus Bound the defiant Titan Prometheus is brutally punished by Zeus for daring to improve the state of wretchedness and servitude in which mankind is kept. The Suppliants tells the story of the fifty daughters of Danaus who must flee to escape enforced marriages, while Seven Against Thebes shows the inexorable downfall of the last members of the cursed family of Oedipus. And The Persians, the only Greek tragedy to deal with events from recent Athenian history, depicts the aftermath of the defeat of Persia in the battle of Salamis, with a sympathetic portrayal of its disgraced King Xerxes. Philip Vellacott's evocative translation is accompanied by an introduction, with individual discussions of the plays, and their sources in history and mythology.|1961|84|http://images.amazon.com/images/P/0140441123.01.LZZZZZZZ.jpg
9780140441222|Iphigenia, Phaedra, Athaliah|Jean Baptiste Racine|Penguin Books|Drama|Strongly influenced by Classical drama, Jean Racine (1639–99) broke away from the grandiose theatricality of baroque drama to create works of intense psychological realism, with characters manipulated by cruel and vengeful gods. Iphigenia depicts a princess’s absolute submission to her father’s will, despite his determination to sacrifice her to gain divine favour before going to war. Described by Voltaire as ‘the masterpiece of the human mind’, Phaedra shows a woman’s struggle to overcome her overwhelming passion for her stepson – an obsession that brings destruction to a noble family. And Athaliah portrays a ruthless pagan queen, who defies Jehovah in her desperate attempt to keep the throne of Jerusalem from its legitimate heir.|1970|78|http://images.amazon.com/images/P/0140441220.01.LZZZZZZZ.jpg
9780140441376|The Nibelungenlied|A.T. Hatto|Penguin Books|Literary Collections|Written by an unknown author in the twelfth century, this powerful tale of murder and revenge reaches back to the earliest epochs of German antiquity, transforming centuries-old legend into a masterpiece of chivalric drama. Siegfried, a great prince of the Netherlands, wins the hand of the beautiful princess Kriemhild of Burgundy, by aiding her brother Gunther in his struggle to seduce a powerful Icelandic Queen. But the two women quarrel, and Siegfried is ultimately destroyed by those he trusts the most. Comparable in scope to the Iliad, this skilfully crafted work combines the fragments of half-forgotten myths to create one of the greatest epic poems - the principal version of the heroic legends used by Richard Wagner, in The Ring.|1965|252|http://images.amazon.com/images/P/0140441379.01.LZZZZZZZ.jpg
9780140441529|The Wasps|Aristophanes|Penguin Books|Drama|In 'The Wasps' an old-fashioned father and his loose-living son come to blows--and end up in court; elsewhere Aristophanes milks the clash of generations for all it is worth by sending up the purveyors of new ideas like Socrates and Euripides (the most controversial of the great tragedians). In 'The Poet and the Women' Euripides, accused of misogyny, gets a relative in drag to infiltrate an all-woman festival and find out what revenge is being plotted, with predictable bawdy results. In 'The Frogs, ' written in the darkest days of the Peloponnesian War, the god Dionysus descends to the Underworld to find a poet to bring back: does Athens in her hour of danger need the traditional wisdom of Aeschylus or the brilliant modern cleverness of Euripides? As the great debate proceeds, Aristophanes combines parody with slapstick and political discussion with pantomime high spirit, to produce a hilarious and unique masterpiece.|1964|159|http://images.amazon.com/images/P/0140441522.01.LZZZZZZZ.jpg
9780140441796|The Gambler, Bobok, A Nasty Story|Fyodor Dostoeyevsky|Penguin Books|Fiction|The stories in this volume demonstrate Dostoyevsky’s genius for fusing caricature, irony and the grotesque to create a powerful dark humour. The Gambler is a breathtaking portrayal of an intense and futile obsession. Based on Dostoyevsky’s own experience of financial desperation and the compulsive desire to win money, it focuses on the characters that take their places at the gaming tables of ‘Roulettenburg’: the outspoken, aristocratic ‘Grandmamma’, the mercenary Mademoiselle Blanche, the cool, mysterious Polina and Alex, the author’s self-portrait; a man gripped by exhilaration and hopelessness. Bobok is a blackly comic satire in which a desolate writer becomes drawn into the conversations of the dead, and A Nasty Story is a humorous look at the disparity between a man’s exaggerated ideal of himself and the sad reality.|1966|102|http://images.amazon.com/images/P/0140441794.01.LZZZZZZZ.jpg
9780140442052|Cousin Pons|Honore De Balzac|Penguin Books|Fiction|Mild, harmless and ugly to behold, the impoverished Pons is an ageing musician whose brief fame has fallen to nothing. Living a placid Parisian life as a bachelor in a shared apartment with his friend Schmucke, he maintains only two passions: a devotion to fine dining in the company of wealthy but disdainful relatives, and a dedication to the collection of antiques. When these relatives become aware of the true value of his art collection, however, their sneering contempt for the parasitic Pons rapidly falls away as they struggle to obtain a piece of the weakening man's inheritance. Taking its place in the Human Comedy as a companion to Cousin Bette, the darkly humorous Cousin Pons is among of the last and greatest of Balzac's novels concerning French urban society: a cynical, pessimistic but never despairing consideration of human nature.|2006|49|http://images.amazon.com/images/P/0140442057.01.LZZZZZZZ.jpg
9780140442410|Germania|Cornelius Tacitus|Penguin Books|History|The Agricola is both a portrait of Julius Agricola – the most famous governor of Roman Britain and Tacitus' well-loved and respected father-in-law – and the first detailed account of Britain that has come down to us. It offers fascinating descriptions of the geography, climate and peoples of the country, and a succinct account of the early stages of the Roman occupation, nearly fatally undermined by Boudicca's revolt in AD 61 but consolidated by campaigns that took Agricola as far as Anglesey and northern Scotland. The warlike German tribes are the focus of Tacitus' attention in the Germania, which, like the Agricola, often compares the behaviour of 'barbarian' peoples favourably with the decadence and corruption of Imperial Rome.|1970|60|http://images.amazon.com/images/P/0140442413.01.LZZZZZZZ.jpg
9780140442526|Notes from Underground|Fyodor Dostoyevsky|Penguin Books|Fiction|A single, tormented, character dominates both of these short novels written at different stages of Dostoyevsky's career|1972|174|http://images.amazon.com/images/P/0140442529.01.LZZZZZZZ.jpg
9780140442755|Phaedrus|Plato|Penguin Books|Philosophy|Set in the idyllic countryside outside Athens, the Phraedrusis a dialogue between the philosopher Socrates and his friend Phaedrus, inspired by their reading of a clumsy speech by the writer Lysias on the nature of love. Their conversation develops into a wide-ranging discussion on such subjects as the pursuit of beauty, the immortality of the soul and the attainment of truth, and ends with an in-depth consideration of the principles of rhetoric. Probably a work of Plato's maturity, the Phaedrusrepresents a high point in his achievement as a writer. This volume also contains two of his letters, which discuss his involvement in politics, in particular his role as adviser to Dionysius II of Syracuse, which are crucial documents for our understanding of Plato's life and career.|1973|21|http://images.amazon.com/images/P/0140442758.01.LZZZZZZZ.jpg
9780140443073|Love|Marie Henri Beyle|Penguin Books|Literary Collections|In 1818, when he was in his mid-thirties, Stendhal met and fell passionately in love with the beautiful Mathilde Dembowski. She, however, was quick to make it clear that she did not return his affections, and in his despair he turned to the written word to exorcise his love and explain his feelings. The result is an intensely personal dissection of the process of falling - and being - in love: a unique blend of poetry, anecdote, philosophy, psychology and social observation. Bringing together the conflicting sides of his nature, the deeply emotional and the coolly analytical, Stendhal created a work that is both acutely personal and universally applicable.|1975|52|http://images.amazon.com/images/P/014044307X.01.LZZZZZZZ.jpg
9780140443332|The Oresteia|Aeschylus|Penguin Books|Drama|A trilogy of plays dramatizes the murder of Agamemnon by his wife, Clytaemnestra, the revenge of her son, Orestes, and his judgement by the court of Athena|1984|134|http://images.amazon.com/images/P/0140443339.01.LZZZZZZZ.jpg
9780140443486|Lun Yü|Confucius|Penguin USA (Paper)|Philosophy|Confucius' teachings, preserved by his students, consist of aphorisms and parables that illustrate his views on morality|1979|291|http://images.amazon.com/images/P/0140443487.01.LZZZZZZZ.jpg
9780140443530|Notre-Dame de Paris|Victor Hugo|Penguin Books|Fiction|Tells the story of the hunchback Quasimodeo, bell-ringer of Nortre-Dame, the archdeacon Claude Frollo, and the gypsy dancer Esmeralda who wins Quasimodo's selfless devotion.|1978|73|http://images.amazon.com/images/P/0140443533.01.LZZZZZZZ.jpg
9780140443691|Spring Torrents|Ivan Sergeevich Turgenev|Penguin Books|Fiction|Thirty years later Dimitry Sanin looks back on a passionate attachment, a virtual enslavement, to Madame Polozov, who used his helpless love to humiliate him|1980|221|http://images.amazon.com/images/P/014044369X.01.LZZZZZZZ.jpg
9780140443875|Terre|Emile Zola|Penguin Books|Fiction|No Marketing Blurb|1980|59|http://images.amazon.com/images/P/0140443878.01.LZZZZZZZ.jpg
9780140443943|Eugene Onegin|Aleksandr Sergeevich Pushkin|Penguin Books|English poetry|Distinguished by James E. Falen's masterful use of contemporary American English and handling of rhyme and meter, this new translation of Alexander Pushkin's verse novel ably provides English readers with the chance to experience the work of the poet Russians regard as the fountainhead of their literature. The introduction includes Falen's discussion of how his translation compares with those of his predecessors and a general analysis of the poem. Nearly one hundred notes annotate the text."|1979|172|http://images.amazon.com/images/P/0140443940.01.LZZZZZZZ.jpg
9780140444087|Love Visions|Chaucer|Penguin Books|Literary Criticism|Gathers four of Chaucer's longer poems that depict poetic dreams about the rituals and emotions of courtly love|1983|187|http://images.amazon.com/images/P/0140444084.01.LZZZZZZZ.jpg
9780140444308|Les Miserables|Victor Hugo|Penguin Books|Fiction|After nineteen years in prison, Jean Valjean has difficulty adjusting to the outside world, which scorns and shuns him|1982|179|http://images.amazon.com/images/P/0140444300.01.LZZZZZZZ.jpg
9780140444421|Divina Commedia. English|Dante Alighieri|Penguin Books|Poetry|Detailed notes accompany a modern English translation of Dante's epic poem about a spiritual pilgrim led by the ghost of Virgil through the circles of hell|1985|16|http://images.amazon.com/images/P/0140444424.01.LZZZZZZZ.jpg
9780140444438|Divina Commedia. English|Dante Alighieri|Penguin Books|Poetry|Dante relates his mystical interpretation of the heavens, and his moment of transcendent glory, as he journeys, first with Beatrice, then alone, toward the Trinity. Including an interpretive commentary, a glossary and bibliography, this translation seeks to clarify the theological themes and make Dante accessible to the English-speaking public.|1986|227|http://images.amazon.com/images/P/0140444432.01.LZZZZZZZ.jpg
9780140445145|Twilight of Idols and Anti-Christ|R.J. Hollingdale|Penguin Books|Philosophy|'Twilight of the Idols', an attack on all the prevalent ideas of his time, offers a lightning tour of his whole philosophy. It also prepares the way for 'The Anti-Christ', a final assault on institutional Christianity. Both works show Nietzsche lashing out at self-deception, astounded at how often morality is based on vengefulness and resentment. Both reveal a profound understanding of human mean-spiritedness which still cannot destroy the underlying optimism of Nietzsche, the supreme affirmer among the great philosophers.|1990|165|http://images.amazon.com/images/P/0140445145.01.LZZZZZZZ.jpg
9780140446364|Poetics|Aristotle|Penguin Books|Literary Criticism|Provides a translation of Aristotle's classic study of the nature of poetry.|1996|62|http://images.amazon.com/images/P/0140446362.01.LZZZZZZZ.jpg
9780140446425|What is Art?|Leo Tolstoy|Penguin Books|Art|Unavailable description|1995|96|http://images.amazon.com/images/P/0140446427.01.LZZZZZZZ.jpg
9780140447804|The Consolation of Philosophy|Boethius|Penguin Books|Literary Criticism|The Consolation of Philosophy is perhaps unique in the nature and extent of its influence on Western thinking. An eminent public figure under the Gothic emperor Theodoric, Boethius (c. A D 475-525) was also an exceptional Greek scholar and it was to the Greek philosophers that he turned when he fell from favour and was imprisoned in Pavia. Written in the period leading up to his brutal execution, it is a dialogue of alternating prose and verse between the ailing prisoner and his 'nurse' Philosophy, whose instruction on the nature of fortune and happiness, good and evil, fate and free will, restore his health and bring him to enlightenment. The clarity of Boethius's thought and his breadth of vision made The Consolation of Philosophy hugely popular throughout medieval Europe and his ideas suffused the thought of Chaucer and Dante. This translation makes it accessible to the modern reader while losing nothing of Boethius's poetic artistry and philosophical brilliance.|1999|185|http://images.amazon.com/images/P/0140447806.01.LZZZZZZZ.jpg
9780140449082|The Histories|Herodotus|Penguin Books|History|One of the masterpieces of classical literature, the Histories describes how a small and quarrelsome band of Greek city states united to repel the might of the Persian empire. But while this epic struggle forms the core of his work, Herodotus' natural curiosity frequently gives rise to colourful digressions - a description of the natural wonders of Egypt; an account of European lake-dwellers; and far-fetched accounts of dog-headed men and gold-digging ants. With its kaleidoscopic blend of fact and legend, the Histories offers a compelling Greek view of the world of the fifth century BC.|2003|68|http://images.amazon.com/images/P/0140449086.01.LZZZZZZZ.jpg
9780140449099|Don Quixote|Miguel De Cervantes Saavedra|Penguin Books Ltd|Fiction|This text is a revised edition of Cervantes' classic tale. Don Quixote has become so entranced by reading romances of chivalry that he determines to become a knight errant and pursue bold adventures, accompanied by his squire, the cunning Sancho Panza.|2003|11|http://images.amazon.com/images/P/0140449094.01.LZZZZZZZ.jpg
9780140449129|Madame Bovary|Gustave Flaubert|Penguin Books|Fiction|An unhappily married woman, Emma Bovary's unfulfilled dreams of romantic love and desperation to escape the ordinary boredom of her life lead her to a series of desperate acts, including adultery, in a classic novel set against the backdrop of nineteenth-|2003|29|http://images.amazon.com/images/P/0140449124.01.LZZZZZZZ.jpg
9780140449174|Anna Karenina|Leo Tolstoy|Penguin Books Ltd|Fiction|The Award-Winning New Translation Of The Great Russian Novel.|2002|101|http://images.amazon.com/images/P/0140449175.01.LZZZZZZZ.jpg
9780140449211|The Twelve Caesars|Suetonius|Penguin Books|Fiction|Presents biographies of twelve Roman rulers from Julius Caesar to Domitian, providing details of their private and public lives.|2002|143|http://images.amazon.com/images/P/0140449213.01.LZZZZZZZ.jpg
9780140449280|The Last Days of Socrates|Plato|Penguin Books|Fiction|Chronicling the life and death of the father of western philosophy, and charting his influence on the most influential ancient Greek philosophers, Plato's The Last Days of Socrates is translated from the Greek by Hugh Tredennick, revised with an introduction and notes by Harold Tarrant in Penguin Classics. The trial and condemnation of Socrates on charges of heresy and corrupting young minds is a defining moment in the history of Classical Athens. In tracing these events through four dialogues, Plato also developed his own philosophy, based on Socrates' manifesto for a life guided by self-responsibility. Euthyphro finds Socrates outside the court-house, debating the nature of piety, while the Apology is his robust rebuttal of the charges of impiety and a defence of the philosopher's life. In the Crito, while awaiting execution in prison, Socrates counters the arguments of friends urging him to escape. Finally, in the Phaedo, he is shown calmly confident in the face of death, skilfully arguing the case for the immortality of the soul. Hugh Tredennick's landmark 1954 translation has been revised by Harold Tarrant, reflecting changes in Platonic studies, with an introduction and expanded introductions to each of the four dialogues. Plato (c.427-347 BC) stands with Socrates and Aristotle as one of the shapers of the whole intellectual tradition of the West. He founded the Academy in Athens, the first permanent institution devoted to philosophical research and teaching, and the prototype of all Western universities. If you enjoyed The Last Days of Socrates, you might like Plato's The Symposium, also available in Penguin Classics.|2003|196|http://images.amazon.com/images/P/0140449280.01.LZZZZZZZ.jpg
9780140449327|The Aeneid|Virgil|Penguin Books|Literary Criticism|Virgil's Aeneid, inspired by Homer and inspiration for Dante and Milton, is an immortal poem at the heart of Western life and culture. Virgil took as his hero Aeneas, legendary survivor of the fall of Troy and father of the Roman race, and in telling a story of dispossession and defeat, love and war, he portrayed human life in all its nobility and suffering.|2003|17|http://images.amazon.com/images/P/0140449329.01.LZZZZZZZ.jpg
9780140502015|Time of Wonder|Robert McCloskey|Puffin Books|Juvenile Fiction|Follows the activities of two children spending their summer vacation on an island off the coast of Maine.|1989|170|http://images.amazon.com/images/P/0140502017.01.LZZZZZZZ.jpg
9780140620122|Wuthering Heights|Emily Bronte|Penguin Books Ltd|Fiction|In a house haunted by memories, the past is everywhere ... As darkness falls, a man caught in a snowstorm is forced to shelter at the strange, grim house Wuthering Heights. It is a place he will never forget. There he will come to learn the story of Cathy: how she was forced to choose between her well-meaning husband and the dangerous man she had loved since she was young. How her choice led to betrayal and terrible revenge - and continues to torment those in the present. How love can transgress authority, convention, even death. And how desire can kill.|1994|251|http://images.amazon.com/images/P/0140620125.01.LZZZZZZZ.jpg
9780140620221|Pride and Prejudice|Jane Austen|Penguin Books Ltd|Courtship|First published in 1813.|1994|287|http://images.amazon.com/images/P/0140620222.01.LZZZZZZZ.jpg
9780140620474|Far from the Madding Crowd|Thomas Hardy|Penguin Books Ltd|England|Independent and spirited Bathsheba Everdene has come to Weatherbury to take up her position as a farmer on the largest estate in the area. Her bold presence draws three very different suitors: the gentleman-farmer Boldwood, soldier-seducer Sergeant Troy and the devoted shepherd Gabriel Oak. Each, in contrasting ways, unsettles her decisions and complicates her life, and tragedy ensues, threatening the stability of the whole community. The first of his works set in Wessex, Hardy’s novel of swift passion and slow courtship is imbued with his evocative descriptions of rural life and landscapes, and with unflinching honesty about sexual relationships.|1994|90|http://images.amazon.com/images/P/0140620478.01.LZZZZZZZ.jpg
9780140620634|Dracula|Bram Stoker|Penguin Books Ltd|Dracula, Count (Fictitious character)|Irish author Bram Stoker introduced the character of Count Dracula and provided the basis of modern vampire fiction in his 1897 novel entitled "Dracula." Written as a series of letters, newspaper clippings, diary entries, and ships' logs, the story begins with lawyer Jonathan Harker journeying to meet Dracula at his remote castle to complete a real estate transaction. Harker soon discovers that he is being held prisoner, and that Dracula has a rather disquieting nocturnal life. Touching on themes such as Victorian culture, immigration, and colonialism, among others, this timeless classic is sure to keep readers on the edge of their seats! Now available as part of the Canterbury Classics singles series, "Dracula" is a must-have addition to the libraries of all classic literature lovers.|1994|271|http://images.amazon.com/images/P/014062063X.01.LZZZZZZZ.jpg
9780140621624|The Railway Children|E. Nesbit|Penguin Books Ltd|Fiction|When their father is sent away to prison, three London children move to the country where they keep busy preventing accidents on the nearby railway, making many new friends, and generally learning a good deal about themselves.|1995|251|http://images.amazon.com/images/P/0140621628.01.LZZZZZZZ.jpg
9780140714548|Hamlet|William Shakespeare|Penguin Books|Drama|Hamlet, Prince of Denmark is faced by a ghost bearing a grim message of murder and revenge, driving the prince to the edge of madness by his struggle to understand the situation and to do his duty.|2001|59|http://images.amazon.com/images/P/0140714545.01.LZZZZZZZ.jpg
9780140714555|A Midsummer Night's Dream|William Shakespeare|Penguin Books|Drama|Two pairs of star-crossed lovers, a feuding pair of supernatural sprites, and a love potion gone awry all come together in an enchanted moonlit forest.|2000|161|http://images.amazon.com/images/P/0140714553.01.LZZZZZZZ.jpg
9780140771978|Critical Studies|F. Scott Fitzgerald|Penguin Books|Literary Criticism|A critical analysis of Fitzgerald's great novel explores its intricate patterns, chronology, locations, imagery and use of colour, and how these contribute to a seamless interplay of social comedy and symbolic landscape.|1988|29|http://images.amazon.com/images/P/0140771972.01.LZZZZZZZ.jpg
9780141000183|Chocolat|Joanne Harris|Penguin Books|Fiction|When the beautiful and mysterious Vianne moves to Lansquenet and opens a chocolate shop across from the church, the inhabitants of the tiny village find themselves torn between the solemn law of religion and the joyful rewards of Vianne's confections. Reprint. (A Miramax film, releasing December 2000, directed by Lasse Hallstrm, starring Juliette Binoche, Johnny Depp, Alfred Molina, Lena Olin, & Judi Dench) (General Fiction)|2000|215|http://images.amazon.com/images/P/014100018X.01.LZZZZZZZ.jpg
9780141000190|Bridget Jones's Diary|Helen Fielding|Penguin Putnam|Fiction|Chronicles a year in the life of Bridget Jones, a single, thirtysomething woman on a perpetual quest for self-improvement, as she struggles to cope with relationships, weight control, and the other baffling complexities of modern life.|2001|244|http://images.amazon.com/images/P/0141000198.01.LZZZZZZZ.jpg
9780141001821|In the Heart of the Sea|Nat Philbrick|Penguin Books|History|Recounts the story of the 1820 wreck of the whaleship Essex, which inspired Melville's classic "Moby-Dick," and describes its doomed crew's ninety-day attempt to survive whale attacks and the elements on three tiny lifeboats.|2001|44|http://images.amazon.com/images/P/0141001828.01.LZZZZZZZ.jpg
9780141001876|Door Wide Open|Jack Kerouac|Penguin Books|Biography & Autobiography|A collection of poignant love letters between Jack Kerouac and Joyce Glassman reveals a tender, loving side to a writer famous for his rough exterior and moody ways. Reprint.|2001|284|http://images.amazon.com/images/P/0141001879.01.LZZZZZZZ.jpg
9780141002989|Moonraker|Ian Fleming|Penguin Books Ltd|Bond, James (Fictitious character)|At M's request, Bond has gone up against Sir Hugo Drax at the card table, on a mission to teach the millionaire and head of the Moonraker project a lesson he won't forget, and prevent a scandal engulfing Britain's latest defence system. But there is more to the mysterious Drax than simply cheating at cards. And once Bond delves deeper into goings-on at the Moonraker base he discovers that both the project and its leader are something other than they pretend to be . . .|2002|118|http://images.amazon.com/images/P/0141002980.01.LZZZZZZZ.jpg
9780141005348|How to Build a Time Machine|Paul Davies|Penguin Books Ltd|Science|Is time travel really possible? Can we break the last cosmic taboo? Yes, says internationally acclaimed writer and physicist Paul Davies. In this highly entertaining and mind-blowing book he reveals how it can be done. Taking us on an astonishing ride into the far reaches of Einstein's universe, this is the ultimate time-traveller's companion.|2002|259|http://images.amazon.com/images/P/0141005343.01.LZZZZZZZ.jpg
